s_part,n_source_edges,f_part_1563,f_part_530,f_part_632,f_part_926,f_part_1624,f_part_1749,f_part_726,f_part_717,f_part_2484,f_part_558,f_part_849,f_part_951,f_part_1076,f_part_1134,f_part_2362,f_part_2617,f_part_807,f_part_1445,f_part_2185
115,3789,0.04117181314330958,0.0044866719451042494,0.3594615993665875,0.20665083135391923,0.010820797044074954,0.0010556875164951175,0.003694906307732911,0.09501187648456057,0.0,0.0023752969121140144,0.0002639218791237794,0.0013196093956188968,0.006070203219846925,0.25917128529955136,0.0018474531538664556,0.0010556875164951175,0.0055423594615993665,0.0,0.0
3,1187,0.02190395956192081,0.02695871946082561,0.016006739679865205,0.0016849199663016006,0.12552653748946924,0.0,0.14574557708508845,0.015164279696714406,0.0,0.08171861836562763,0.014321819713563605,0.10530749789385004,0.14911541701769165,0.0,0.11962931760741365,0.0,0.062342038753159225,0.11457455770850884,0.0
4,3637,0.043442397580423425,0.01182293098707726,0.13142700027495188,0.06626340390431674,0.14352488314544953,0.00027495188342040145,0.07176244157272477,0.05141600219961507,0.0,0.0772614792411328,0.025295573274676932,0.03711850426175419,0.08331042067638163,0.09788287049766291,0.05279076161671707,0.006873797085510036,0.05389056915039868,0.045092108880945836,0.0005499037668408029
183,9314,0.04573759931286236,0.003972514494309642,0.16448357311573975,0.10768735237277217,0.013850118101782263,0.00010736525660296328,0.09362250375778398,0.0707537041013528,0.0,0.10532531672750697,0.010629160403693366,0.029632810822417865,0.013205926562164483,0.15009662873094268,0.006012454369765944,0.001503113592441486,0.08471118745973803,0.09834657504831437,0.00032209576980888986
278,989,0.04853387259858443,0.007077856420626896,0.021233569261880688,0.0,0.05156723963599596,0.0010111223458038423,0.17795753286147623,0.024266936299292215,0.0,0.034378159757330634,0.0010111223458038423,0.1435793731041456,0.028311425682507583,0.0,0.010111223458038422,0.0020222446916076846,0.1385237613751264,0.2861476238624874,0.024266936299292215
366,7346,0.00558126871766948,0.15164715491423905,0.018241219711407568,0.1116253743533896,0.00040838551592703513,0.0,0.09719575279063436,0.07745711952082766,0.0,0.10835829022597332,0.00040838551592703513,0.004900626191124422,0.008167710318540702,0.17152191668935476,0.13245303566566838,0.0002722570106180234,0.0019057990743261638,0.10971957527906344,0.0001361285053090117
66,2577,0.029879705083430345,0.0038804811796662787,0.2716336825766395,0.15405510283275126,0.020954598370197905,0.00038804811796662784,0.017074117190531625,0.06480403570042685,0.0,0.1086534730306558,0.07256499805975941,0.005820721769499418,0.006984866123399301,0.22079937912301126,0.00038804811796662784,0.0011641443538998836,0.020954598370197905,0.0,0.0
20,3659,0.045640885487838206,0.0010931948619841486,0.1426619294889314,0.08499590051926756,0.054386444383711395,0.00027329871549603714,0.08827548510522,0.06012571740912818,0.0,0.09401475813063678,0.07023776988248155,0.05192675594424706,0.02705657283410768,0.1257174091281771,0.007105766602896966,0.0,0.06477179557256081,0.08144301721781907,0.00027329871549603714
14,901,0.013318534961154272,0.004439511653718091,0.15316315205327413,0.12319644839067703,0.0244173140954495,0.0,0.0244173140954495,0.033296337402885685,0.0,0.13318534961154274,0.08324084350721421,0.016648168701442843,0.008879023307436182,0.21198668146503885,0.0,0.0022197558268590455,0.048834628190899,0.11764705882352941,0.0011098779134295228
244,1900,0.08263157894736842,0.042105263157894736,0.037894736842105266,0.18578947368421053,0.035789473684210524,0.0,0.1763157894736842,0.15894736842105264,0.0,0.16157894736842104,0.002631578947368421,0.04,0.024210526315789474,0.01,0.005263157894736842,0.01,0.018947368421052633,0.007894736842105263,0.0
211,1962,0.05555555555555555,0.021406727828746176,0.01834862385321101,0.046381243628950054,0.0045871559633027525,0.4123343527013252,0.0744138634046891,0.07390417940876656,0.0,0.0545361875637105,0.0020387359836901123,0.01580020387359837,0.027522935779816515,0.047910295616717634,0.017329255861365953,0.0025484199796126403,0.022426095820591234,0.10295616717635066,0.0
124,1522,0.1366622864651774,0.013140604467805518,0.005913272010512484,0.010512483574244415,0.11629434954007885,0.001314060446780552,0.26741130091984233,0.1504599211563732,0.0,0.011169513797634692,0.000657030223390276,0.1721419185282523,0.05716162943495401,0.0,0.01445466491458607,0.00985545335085414,0.0328515111695138,0.0,0.0
333,1118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,1933,0.04449042938437662,0.006207966890843249,0.0020693222969477496,0.0046559751681324365,0.04190377651319193,0.0010346611484738748,0.12105535437144335,0.00982928091050181,0.0,0.22917744438696327,0.12519399896533887,0.07966890843248836,0.02586652871184687,0.0005173305742369374,0.00982928091050181,0.0,0.12260734609415416,0.17589239524055872,0.0
414,1196,0.05434782608695652,0.15384615384615385,0.0016722408026755853,0.020066889632107024,0.015050167224080268,0.0,0.17391304347826086,0.09364548494983277,0.0,0.06270903010033445,0.0,0.06354515050167224,0.12040133779264214,0.0,0.15301003344481606,0.01254180602006689,0.0016722408026755853,0.0016722408026755853,0.07190635451505016
418,3873,0.023237800154918668,0.14898011877097858,0.010327911179963851,0.10379550735863671,0.011360702297960238,0.0,0.09759876065065841,0.07332816937774335,0.0,0.10172992512264395,0.0002581977794990963,0.017815646785437646,0.06480764265427318,0.1531112832429641,0.09759876065065841,0.0010327911179963851,0.0020655822359927703,0.0059385489284792155,0.08701265169119546
242,6280,0.03821656050955414,0.10557324840764332,0.00732484076433121,0.08439490445859872,0.018312101910828025,0.0011146496815286624,0.09617834394904459,0.07356687898089172,0.0,0.09156050955414012,0.0028662420382165603,0.051273885350318474,0.1265923566878981,0.11369426751592357,0.09936305732484077,0.0017515923566878981,0.003662420382165605,0.08455414012738853,0.0
272,7364,0.023221075502444323,0.1447582835415535,0.0069255839217816405,0.09818033677349267,0.007061379684953829,0.00027159152634437803,0.10917979359043997,0.07998370450841934,0.0,0.10293318848451928,0.00027159152634437803,0.021184139054861488,0.04277566539923954,0.14923954372623574,0.11610537751222162,0.0017653449212384573,0.003394894079304726,0.0927485062466051,0.0
221,2899,0.023801310796826493,0.09589513625388064,0.006553984132459468,0.1731631597102449,0.004484304932735426,0.0,0.07002414625733011,0.08416695412211107,0.0,0.14280786478095894,0.0006898930665746809,0.010693342531907554,0.008968609865470852,0.24836150396688514,0.011728182131769576,0.0,0.005864091065884788,0.11279751638496033,0.0
447,750,0.030666666666666665,0.030666666666666665,0.034666666666666665,0.08933333333333333,0.0013333333333333333,0.0,0.084,0.088,0.0,0.10266666666666667,0.02,0.005333333333333333,0.032,0.08,0.02266666666666667,0.37733333333333335,0.0013333333333333333,0.0,0.0
,,2329.0,4213.0,5211.0,6385.0,1748.0,831.0,5981.0,4686.0,1118.0,6109.0,1022.0,2120.0,2631.0,8516.0,3583.0,417.0,2009.0,4832.0,455.0
